position;id_category;id_product;reference;id_shop_default;ean13;price_tax_excluded;ecotax_tax_excluded;id_tax_rules_group;active;price_professionnel;price_particulier;price_professionnel_raw;price_particulier_raw;price_tax_included_particulier;price_tax_included_professionnel;name;link_rewrite;category;id_image;legend;final_price_tax_excluded;quantity
988;122;11447;NSB-5051889676454;1;5051889676454;0.000000;0.000000;70;1;"21.58 €";"21.58 €";21.580000;21.580000;"25.90 €";"25.90 €";"The Crew DVD";the-crew-dvd;"DVD & Blueray";26135;;0.000000;1
987;122;11446;NSB-5051889684916;1;5051889684916;0.000000;0.000000;70;1;"12.49 €";"12.49 €";12.490000;12.490000;"14.99 €";"14.99 €";"tenet [blu-ray]";tenet-blu-ray-;"DVD & Blueray";22710;;0.000000;5
986;122;11445;NSB-5051888261033;1;5051888261033;0.000000;0.000000;70;1;"5.83 €";"5.83 €";5.830000;5.830000;"7.00 €";"7.00 €";"Teen Titans Go ! & DC Super Hero Girls : Mayhem In The Multiverse DVD";teen-titans-go-dc-super-hero-girls-mayhem-in-the-multiverse-dvd;"DVD & Blueray";26139;;0.000000;1
985;122;11444;NSB-5051889563310;1;5051889563310;0.000000;0.000000;70;1;"8.33 €";"8.33 €";8.330000;8.330000;"10.00 €";"10.00 €";"Tarzan [Blu-ray]";tarzan-blu-ray-;"DVD & Blueray";26141;;0.000000;1
984;122;11442;NSB-5051888262726;1;5051888262726;0.000000;0.000000;70;1;"12.50 €";"12.50 €";12.500000;12.500000;"15.00 €";"15.00 €";"THE POLAR EXPRESS 4K ULTRA HD";the-polar-express-4k-ultra-hd;"DVD & Blueray";26144;;0.000000;1
983;122;11441;NSB-5051888251027;1;5051888251027;0.000000;0.000000;70;1;"30.00 €";"30.00 €";30.000000;30.000000;"36.00 €";"36.00 €";"Supernatural L'intégrale de la Saison 15 DVD";supernatural-l-integrale-de-la-saison-15-dvd;"DVD & Blueray";26146;;0.000000;1
982;122;11440;NSB-5051888250167;1;5051888250167;0.000000;0.000000;70;1;"5.83 €";"5.83 €";5.830000;5.830000;"7.00 €";"7.00 €";"Superman Red Son DVD";superman-red-son-dvd;"DVD & Blueray";25119;;0.000000;1
980;122;11438;NSB-5051888260081;1;5051888260081;0.000000;0.000000;70;1;"29.17 €";"29.17 €";29.170000;29.170000;"35.00 €";"35.00 €";"Supergirl-Saison 6 [Blu-Ray]";supergirl-saison-6-blu-ray;"DVD & Blueray";21444;;0.000000;2
979;122;11437;NSB-5051888232750;1;5051888232750;0.000000;0.000000;70;1;"45.00 €";"45.00 €";45.000000;45.000000;"54.00 €";"54.00 €";"Supergirl - Saison 2 - BluRay - DC COMICS [Blu-ray]";supergirl-saison-2-bluray-dc-comics-blu-ray-;"DVD & Blueray";25128;;0.000000;1
977;122;11435;NSB-5051888260395;1;5051888260395;0.000000;0.000000;70;1;"25.00 €";"25.00 €";25.000000;25.000000;"30.00 €";"30.00 €";"Stargirl Saison 2 DVD";stargirl-saison-2-dvd;"DVD & Blueray";22676;;0.000000;1
976;122;11434;NSB-5051888263327;1;5051888263327;0.000000;0.000000;70;1;"16.66 €";"16.66 €";16.660000;16.660000;"19.99 €";"19.99 €";"Stargirl - Saison 3";stargirl-saison-3;"DVD & Blueray";21434;;0.000000;1
975;122;11433;NSB-5051889500261;1;5051889500261;0.000000;0.000000;70;1;"21.67 €";"21.67 €";21.666667;21.666667;"26.00 €";"26.00 €";"Stallone Get Carter";stallone-get-carter;"DVD & Blueray";21431;;0.000000;1
974;122;11432;NSB-3333297199544;1;3333297199544;0.000000;0.000000;70;1;"11.67 €";"11.67 €";11.670000;11.670000;"14.00 €";"14.00 €";"Spider-Man 3";spider-man-3;"DVD & Blueray";21428;;0.000000;1
973;122;11431;NSB-5051889672357;1;5051889672357;0.000000;0.000000;70;1;"12.50 €";"12.50 €";12.500000;12.500000;"15.00 €";"15.00 €";"Spectre Blu-ray";spectre-blu-ray;"DVD & Blueray";21425;;0.000000;1
971;122;11429;NSB-5051889665168;1;5051889665168;0.000000;0.000000;70;1;"12.49 €";"12.49 €";12.490000;12.490000;"14.99 €";"14.99 €";"Simone, Le Voyage du siècle [Blu-Ray]";simone-le-voyage-du-siecle-blu-ray-;"DVD & Blueray";21419;;0.000000;71
970;122;11428;NSB-5051889698166;1;5051889698166;0.000000;0.000000;70;1;"10.83 €";"10.83 €";10.830000;10.830000;"13.00 €";"13.00 €";"Silverland : La Cité de glace DVD";silverland-la-cite-de-glace-dvd;"DVD & Blueray";25152;;0.000000;1
969;122;11427;NSB-3475001062185;1;3475001062185;0.000000;0.000000;70;1;"14.13 €";"14.13 €";14.130000;14.130000;"16.96 €";"16.96 €";"Shorta Blu-ray";shorta-blu-ray;"DVD & Blueray";25155;;0.000000;1
968;122;11426;NSB-5051888263754;1;5051888263754;0.000000;0.000000;70;1;"12.49 €";"12.49 €";12.490000;12.490000;"14.99 €";"14.99 €";"Shazam! La Rage des Dieux [BD]";shazam-la-rage-des-dieux-bd-;"DVD & Blueray";25158;;0.000000;5
967;122;11425;NSB-5051888263747;1;5051888263747;0.000000;0.000000;70;1;"8.33 €";"8.33 €";8.330000;8.330000;"10.00 €";"10.00 €";"Shazam : La Rage des Dieux [DVD]";shazam-la-rage-des-dieux-dvd-;"DVD & Blueray";22644;;0.000000;1
966;122;11424;NSB-5051889626398;1;5051889626398;0.000000;0.000000;70;1;"41.66 €";"41.66 €";41.660000;41.660000;"49.99 €";"49.99 €";"Sharp Objects [Blu-Ray]";sharp-objects-blu-ray-;"DVD & Blueray";21407;;0.000000;6
965;122;11423;NSB-3700093981411;1;3700093981411;0.000000;0.000000;70;1;"12.49 €";"12.49 €";12.490000;12.490000;"14.99 €";"14.99 €";"Shaman King, Vol. 1";shaman-king-vol-1;"DVD & Blueray";25168;;0.000000;1
964;122;11422;NSB-3322069958212;1;3322069958212;0.000000;0.000000;70;1;"19.17 €";"19.17 €";19.170000;19.170000;"23.00 €";"23.00 €";"Sex And City";sex-and-city;"DVD & Blueray";21401;;0.000000;1
963;122;11421;NSB-5051888250143;1;5051888250143;0.000000;0.000000;70;1;"11.66 €";"11.66 €";11.660000;11.660000;"13.99 €";"13.99 €";"Scooby ! DVD";scooby-dvd;"DVD & Blueray";21399;;0.000000;3
962;122;11420;NSB-5051889669715;1;5051889669715;0.000000;0.000000;70;1;"6.66 €";"6.66 €";6.660000;6.660000;"7.99 €";"7.99 €";"Scandale DVD";scandale-dvd;"DVD & Blueray";21395;;0.000000;1
961;122;11419;NSB-5051889669654;1;5051889669654;0.000000;0.000000;70;1;"28.63 €";"28.63 €";28.630000;28.630000;"34.36 €";"34.36 €";"Scandale Blu-ray";scandale-blu-ray;"DVD & Blueray";21394;;0.000000;1
960;122;11418;NSB-3700301033598;1;3700301033598;0.000000;0.000000;70;1;"24.08 €";"24.08 €";24.080000;24.080000;"28.90 €";"28.90 €";"Satan, mon amour";satan-mon-amour;"DVD & Blueray";21389;;0.000000;1
957;122;11415;NSB-5051889692508;1;5051889692508;0.000000;0.000000;70;1;"13.33 €";"13.33 €";13.333333;13.333333;"16.00 €";"16.00 €";"Sacrées sorcières SteelBook® Combo Blu-ray DVD";sacrees-sorcieres-steelbookR-combo-blu-ray-dvd;"DVD & Blueray";21381;;0.000000;21
955;122;11413;NSB-5051888259115;1;5051888259115;0.000000;0.000000;70;1;"16.67 €";"16.67 €";16.670000;16.670000;"20.00 €";"20.00 €";"Rick et Morty Saison 5 DVD";rick-et-morty-saison-5-dvd;"DVD & Blueray";;;0.000000;1
954;122;11412;NSB-5051888250983;1;5051888250983;0.000000;0.000000;70;1;"8.33 €";"8.33 €";8.330000;8.330000;"10.00 €";"10.00 €";"Richard Jewell DVD";richard-jewell-dvd;"DVD & Blueray";;;0.000000;1
953;122;11411;NSB-5051888255452;1;5051888255452;0.000000;0.000000;70;1;"12.50 €";"12.50 €";12.500000;12.500000;"15.00 €";"15.00 €";"Reminiscence Blu-ray";reminiscence-blu-ray;"DVD & Blueray";21371;;0.000000;1
952;122;11410;NSB-5051889676973;1;5051889676973;0.000000;0.000000;70;1;"10.83 €";"10.83 €";10.830000;10.830000;"13.00 €";"13.00 €";"Red Storm DVD";red-storm-dvd;"DVD & Blueray";21368;;0.000000;1
